name,MW,time
!1YJ_4LY3_A,447.445,30024
!1YM_4LP0_A,436.388,16188
!1YS_4LXA_A,585.598,33065
!1YT_4LXK_A,561.652,34126
!1Z6_4OZ2_A,181.23,7178
!1Z8_4OZ3_A,217.211,9665
!1ZC_4OYM_A,219.197,5009
!201_2B0M_A,316.33,14715
!208_2GTK_A,445.959,27929
!20A_3D3P_A,387.519,31432
!20B_4HLG_A,238.238,10746
!20D_4HLH_A,240.229,10842
!20K_4FKO_A,359.876,10437
!20N_4LVB_A,218.252,6463
!20O_4LVG_A,378.444,15408
!20P_4LVF_A,238.284,11676
!20R_4M6P_A,392.431,13610
!20U_4LWU_A,583.481,35761
!20Z_3RMF_A,424.496,13285
!210_4NKF_A,232.046,416
!211_3H7C_X,150.196,229
!212_5DZ2_A,246.072,406
!218_4MUU_A,259.327,6262
!21D_4LQ9_A,286.281,7971
!21L_3V9V_A,571.574,36049
!21N_3MS4_A,409.381,27794
!21O_4AW1_A,378.299,12491
!21U_2ZGB_H,352.879,19534
!21W_4MCB_A,407.553,31211
!21X_4MCC_A,321.418,20304
!227_2O8H_A,484.591,22057
!228_2ORO_A,424.496,20257
!22K_3OT3_A,405.4,45795
!22L_4MCD_A,234.317,14889
!22S_3MS7_A,375.828,26813
!22U_2ZC9_H,386.895,21309
!237_2PR3_A,546.01,26822
!238_2PRH_A,390.814,18220
!239_4FUC_A,320.388,12865
!23C_2R9W_A,387.342,16891
!23R_3A40_X,458.673,47655
!23T_2HHW_A,462.137,18219
!23U_3DHK_H,462.991,25607
!23V_3MTB_A,375.828,27118
!240_2Q59_A,526.481,19978
!243_3DSJ_A,295.437,496
!245_4O95_A,247.68,6148
!246_2QPM_A,261.707,7088
!24B_1QV6_A,144.119,1663
!24I_2C6C_A,423.117,5068
!24L_3V9Y_A,570.566,38434
!24P_3FH5_A,268.373,13179
!24U_2ZI2_H,317.406,13736
!24Y_4MEP_A,371.864,21888
!252_2Z4X_A,300.183,448
!258_2RAY_X,156.609,1921
!25E_3MTD_A,357.382,26381
!25F_4BU7_A,301.138,11138
!25K_4MEN_A,267.329,8866
!25O_4MEQ_A,225.249,10344
!25Q_4P4C_A,333.344,17829
!25Z_3RPR_A,363.357,9067
!260_2RB0_X,207.015,1904
!261_3HU8_A,138.164,1769
!263_2RB2_X,147.177,1654
!264_2RBN_A,132.163,1561
!269_2RBS_A,170.636,2150
!26B_3DDS_A,504.597,22509
!26G_4MES_A,243.304,6212
!26K_4MBI_A,272.329,13282
!26M_4MHO_A,389.399,33962
!26O_3NC4_A,357.382,25991
!26R_4MI3_A,367.437,29353
!26U_2ZIQ_H,345.459,15021
!26V_4MI6_A,379.447,28832
!26W_4MI9_A,353.41,28799
!26Z_3RPV_A,389.452,9017
!274_2J7T_A,569.095,20976
!27D_4M7I_A,431.57,43120
!27H_4MG7_A,358.471,25881
!27M_4MGC_A,246.215,5668
!27O_4MJP_B,281.369,14360
!27R_4MJQ_A,333.157,6482
!27U_2ZHQ_H,379.475,17212
!27Z_3RPY_A,313.356,6050
!281_2PJ9_A,511.532,23157
!287_2RG6_A,466.576,30569
!28C_4M7B_A,269.302,9042
!28F_4MB9_A,400.455,21228
!28M_4MIB_A,484.611,24926
!28P_3U9W_A,327.417,10392
!28Q_4MK8_A,454.582,14500
!28R_4MK9_A,467.537,21707
!28V_4MKB_A,453.554,14087
!292_1VYW_A,291.347,12264
!29A_3ROC_A,449.835,13794
!29B_3ROC_A,239.248,11940
!29M_4MDD_A,510.643,20912
!29R_4CB6_A,370.424,21956
!2A8_3ZYA_A,314.38,9624
!2A9_2YEA_A,154.163,1805
!2AM_3AHW_A,345.205,25412
!2AN_2WOR_A,298.336,9587
!2AZ_2GM1_A,505.031,24532
!2B2_4M3B_A,314.326,10025
!2B4_4AJH_B,273.037,2891
!2B8_4P10_A,269.383,16245
!2BG_4CXR_A,165.235,6476
!2BI_4IZ0_A,341.598,5993
!2BW_4MR8_A,225.222,475
!2BX_4MR9_A,173.21,6384
!2C0_4MS4_A,213.661,3808
!2C3_4MQ1_A,542.394,23688
!2C6_4MSG_A,483.626,36853
!2C7_3DD8_A,371.472,13719
!2CB_4A31_A,409.549,15928
!2CG_2E4V_A,202.142,923
!2CL_2IS7_A,204.03,2004
!2D1_4M3F_A,324.462,9860
!2D2_4MTA_A,201.198,6329
!2D4_2YE9_A,397.467,17112
!2D7_2BYH_A,371.774,11539
!2DD_2BYI_A,422.843,12361
!2DK_4MUG_A,396.395,14564
!2DL_2XDL_A,223.268,2878
!2DQ_4MUI_A,417.412,12478
!2DX_4MTI_A,541.725,54374
!2E3_3FUG_A,363.469,12685
!2E5_4MUY_A,266.062,3842
!2E6_4MV0_A,266.062,3297
!2E7_4MV5_A,300.507,3284
!2E9_4MW2_B,380.912,10112
!2EB_4MW4_B,466.745,9609
!2EK_4MWB_B,365.322,8631
!2EX_4N00_A,383.396,32755
!2EY_4MYA_A,378.896,29206
!2F8_4N34_A,235.234,11004
!2FA_1PK9_A,286.24,20381
!2FD_1Z34_A,278.304,30823
!2FG_4MOQ_A,182.147,8495
!2FP_3ELF_A,336.084,603
!2FT_3LA3_A,166.08,280
!2FX_3KFS_B,191.226,5562
!2FZ_4P6G_A,485.528,28120
!2G1_4M3G_A,350.38,9845
!2G2_4P4B_A,439.269,1571
!2G4_4P4E_A,356.288,6491
!2G5_4P4I_A,414.261,8804
!2G6_4OI5_E,440.493,8026
!2GD_4N1T_A,270.138,8123
!2GE_4N1U_A,296.175,9975
!2GG_2UWD_A,388.802,14549
!2GP_1HYF_A,361.205,25954
!2GU_4N3R_A,455.484,22166
!2GY_4N4V_A,443.541,31594
!2H5_4MOR_A,182.147,8088
!2H8_4KS1_A,284.351,11794
!2HG_2YC0_A,146.098,294
!2HJ_4N9D_A,423.528,11542
!2HN_4B6S_A,369.218,18614
!2HU_4N97_A,170.209,10516
!2HW_4N6Z_A,314.366,14790
!2HX_4N70_A,458.456,28179
!2IC_2ICA_A,555.432,27770
!2IW_4DVI_A,423.463,36362
!2J4_5FKY_A,220.246,11362
!2J7_4NBN_B,322.361,8287
!2J9_4N07_A,242.27,8668
!2JJ_4NF5_B,195.11,397
!2JL_4NF6_B,377.37,31355
!2K7_4NKA_A,439.511,17794
!2K8_4NJH_A,210.17,8669
!2KA_4NJK_A,193.14,5920
!2KD_4NJ3_A,503.911,21373
!2KF_4NGA_H,591.741,23179
!2KJ_4FVX_A,218.254,451
!2KN_4NCW_B,291.346,4139
!2KR_4P1R_A,331.371,14308
!2KS_4N8D_A,322.464,17430
!2KU_2YEH_A,216.304,15433
!2KV_4N8E_A,321.865,19247
!2L1_4NP2_A,234.36,13961
!2L3_4NMF_A,253.251,6953
!2LC_4NH8_A,403.49,24377
!2LI_3IVI_A,511.626,27273
!2LJ_4NQD_A,332.31,11527
!2LK_4NR4_A,346.874,18289
!2LL_4NR5_A,440.621,31890
!2LN_4NR6_A,469.593,23883
!2LO_5BT3_A,519.119,38505
!2LQ_4PBT_A,316.395,15582
!2LX_4NRB_A,235.279,8145
!2LY_4NRC_A,199.227,4272
!2M4_4G1R_A,342.296,43686
!2M5_3OAZ_H,208.209,10621
!2M8_3ZX5_A,267.21,12516
!2M9_4NJ9_H,469.442,11617
!2N0_4PCE_A,257.371,15668
!2NJ_4PCI_A,252.311,9368
!2NK_4NUS_A,382.426,19783
!2NP_1F06_B,186.185,419
!2NR_4NW5_A,424.422,16574
!2NS_4NW6_A,416.429,21852
!2O3_4NYW_A,378.467,15104
!2O7_2O7N_A,408.28,15609
!2OH_2E2R_A,228.286,6023
!2OO_4O0Y_A,337.379,13287
!2P1_4O15_A,460.429,16356
!2P6_4AN0_A,339.431,19885
!2PG_1O98_A,183.033,331
!2PJ_4PES_A,398.446,16693
!2Q2_4O8M_A,195.147,527
!2Q8_4O04_A,356.482,29525
!2Q9_4O05_A,439.613,32426
!2QA_4O0B_A,394.55,25380
!2QC_5FE5_B,192.261,7595
!2QE_4NWC_A,232.211,512
!2QF_4O10_A,434.499,18843
!2QJ_4NZ2_A,486.688,10956
!2QM_4OC5_A,567.33,17351
!2QN_4OC4_A,566.346,17670
!2QP_4OC3_A,555.32,17346
!2QU_4OBP_A,241.224,10817
!2QV_4OBO_A,255.702,11641
!2R2_4PFD_A,433.425,17474
!2R4_4O72_A,413.488,28762
!2R6_4O09_A,378.507,15814
!2R7_4OC0_A,501.272,14509
!2RE_4O77_A,335.375,14082
!2RJ_4O7B_A,444.524,23624
!2RM_4O0Z_A,435.507,19964
!2RN_4O7E_A,318.392,14379
!2RQ_4O7F_A,451.536,24887
!2S6_4OG3_A,419.579,25266
!2S7_4OG5_A,420.567,25935
!2S9_4OG6_A,437.569,26496
!2SA_2VD6_B,468.333,49032
!2SC_2R3O_A,339.435,21692
!2SE_4OG7_A,474.636,26887
!2SF_4OG8_A,419.602,29253
!2SH_4O6E_A,449.906,18618
!2SK_2F7P_A,270.368,25124
