Name,MW,time
!1M7_4JPE_A,336.411,10612
!1M8_4KIN_A,410.916,4482
!1M9_4JJS_A,462.481,5550
!1MB_4JJU_A,433.331,7885
!1MJ_4JN0_A,146.146,4640
!1ML_4JMU_A,543.63,6141
!1MN_4JV7_A,515.237,5594
!1MV_4LPG_F,411.266,7861
!1N3_3ULI_A,474.374,5906
!1N4_4JWY_A,199.207,916
!1N5_3CXO_B,177.175,378
!1N6_4JX7_A,419.423,8005
!1NJ_4JZD_H,533.576,7742
!1NK_4JZE_H,557.597,11713
!1NL_4JZF_H,533.552,7802
!1NQ_4JSR_A,486.61,9087
!1NR_4JT8_A,389.515,8305
!1NS_4JT9_A,383.489,7601
!1NT_2NXG_B,411.127,929
!1O1_4JU3_A,425.411,4164
!1O8_4K4J_A,293.38,6254
!1O9_4JY0_A,492.633,5417
!1OK_4JYU_H,535.635,10612
!1OO_4XV9_A,514.832,8167
!1OQ_4K2G_B,280.22,2656
!1OT_4K3N_A,251.178,3400
!1P6_3IOK_A,349.365,6198
!1P9_4K69_A,471.324,8334
!1PF_4JS8_A,420.567,2269
!1PL_2RDN_A,233.326,14816
!1PS_1R4P_B,201.243,2266
!1Q8_4K9C_A,151.163,1131
!1QK_4KD1_A,396.486,7670
!1QP_4KFB_A,190.199,5394
!1QR_4KFN_A,398.479,2999
!1QS_4KFO_A,427.424,2925
!1QT_4K8S_A,505.711,16258
!1QV_4KAP_A,285.219,5768
!1R6_4KE1_A,556.715,16472
!1R8_4KE0_A,491.685,15872
!1RC_3K98_A,360.792,3769
!1RH_4KJU_A,552.643,10031
!1RK_4KJV_A,547.599,14273
!1RQ_4KKH_A,504.582,8063
!1RY_4K4I_A,483.155,6833
!1S0_4K4G_A,463.125,6711
!1S5_4OXK_A,314.422,4973
!1S8_4KNR_A,476.526,8229
!1S9_4KNX_A,443.431,4851
!1SA_2HNC_A,179.201,436
!1SB_3OVV_A,284.31,4396
!1SE_4KPX_A,378.338,3693
!1SF_4KPZ_A,235.196,5150
!1SV_4KVI_A,191.313,7239
!1T4_4KKY_X,259.302,1997
!1TM_4KTF_A,267.283,517
!1U0_4KXY_A,480.347,5615
!1U1_4KZ3_A,240.665,569
!1U2_4FUH_A,305.354,2954
!1U4_3FV4_A,503.485,8447
!1UN_3EL0_A,568.79,15769
!1UP_4FU7_A,274.295,3239
!1UQ_4KP7_A,288.237,2303
!1UR_4L09_A,265.24,1464
!1UT_4L0B_A,265.307,1509
!1UZ_4L0S_A,247.248,439
!1V0_4L0T_A,267.236,1453
!1V1_4L0V_A,256.684,418
!1V4_4L2G_A,240.229,5610
!1V5_4L7F_A,459.515,13641
!1V6_4L2L_A,266.361,1253
!1V8_4L2K_A,266.248,490
!1V9_4L70_A,335.4,3511
!1VA_4L7L_A,351.399,3761
!1VB_4L7N_A,400.452,4073
!1VD_4L7O_A,387.434,4619
!1VF_4L32_A,349.403,1320
!1VG_4L34_A,289.268,615
!1VJ_4OYB_A,291.259,3355
!1VK_4OYI_A,189.171,939
!1VM_4LAE_X,388.469,13551
!1VN_4LAG_X,422.914,11558
!1VO_4LAH_X,388.469,11005
!1VV_4L7B_B,445.487,3334
!1VX_4L7D_A,445.53,6629
!1W2_4L7J_A,355.341,8528
!1WB_4NI8_A,194.141,1584
!1WD_4YW9_A,153.159,1459
!1WP_4LC7_A,327.808,8493
!1WQ_4L6S_A,369.865,8752
!1X8_4LH7_A,236.25,5828
!1XA_4LR6_A,174.199,1919
!1XO_4LI6_A,403.497,3578
!1XP_4LI7_A,443.898,3772
!1Y6_5FP5_A,139.104,680
!1YE_4QXO_A,281.283,10973
!1YF_4LY3_B,573.339,13734
!1YJ_4LY3_A,443.413,8964
!1YM_4LP0_A,436.388,4951
!1YS_4LXA_A,585.598,13373
!1YT_4LXK_A,561.652,13175
!1Z6_4OZ2_A,176.19,378
!1Z8_4OZ3_A,212.171,1727
!1ZC_4OYM_A,219.197,1735
!201_2B0M_A,316.33,2710
!208_2GTK_A,437.895,8228
!20A_3D3P_A,379.456,7405
!20B_4HLG_A,238.238,452
!20D_4HLH_A,240.229,422
!20K_4FKO_A,359.876,2109
!20N_4LVB_A,218.252,3495
!20O_4LVG_A,378.444,3984
!20P_4LVF_A,238.284,2885
!20R_4M6P_A,392.431,3093
!20U_4LWU_A,583.481,12119
!20Z_3RMF_A,424.496,4589
!210_4NKF_A,232.046,359
!211_3H7C_X,150.196,337
!212_5DZ2_A,246.072,366
!218_4MUU_A,259.327,3905
!21D_4LQ9_A,286.281,2257
!21L_3V9V_A,571.574,13520
!21N_3MS4_A,409.381,4683
!21O_4AW1_A,378.299,5366
!21U_2ZGB_H,352.879,4195
!21W_4MCB_A,396.466,7660
